id,album,arturl
6,2019-08-08 Bridgestone Arena,2019-08-08 Bridgestone Arena.png
7,2019-07-26 CJ Madison Square Garden,2019-07-26 CJ Madison Square Garden.jpg
8,2019-07-25 Madison Square Garden,2019-07-25 Madison Square Garden.jpg
9,"2019-09-04 Enterprise Center, St Louis, MO","2019-09-04 Enterprise Center, St Louis, MO.jpg"
10,2019-08-11 State Farm Arena Atlanta,2019-08-11 State Farm Arena Atlanta.jpg
11,The Cure in Orange,The Cure in Orange.jpg
12,Indigenous Species,Indigenous Species.jpg
13,Dreamstorm Collection,Dreamstorm Collection.jpg
14,ZOO TV Tour From Sydney,ZOO TV Tour From Sydney.jpg
15,The Swing,The Swing.jpg
16,Any Given Thursday,Any Given Thursday.jpg
17,As Is Volume I,As Is Volume I.jpg
18,"As/Is (Live @ Houston, TX - 7/24/04)","As_Is (Live @ Houston, TX - 7_24_04).jpg"
19,"As/Is (Live @ Mountain View, CA - 7/16/04)","As_Is (Live @ Mountain View, CA - 7_16_04).jpg"
20,"As/Is (Live @ Philadelphia, PA & Hartford, CT - 8/14/04-8/15/04)","As_Is (Live @ Philadelphia, PA & Hartford, CT - 8_14_04-8_15_04).jpg"
21,As/Is (Live),As_Is (Live).jpg
22,Bud Light Dive Bar Tour 2017,Bud Light Dive Bar Tour 2017.png
23,Heavier Things - Bonus Disc,Heavier Things - Bonus Disc.jpg
24,Live at Hi Fi Buys,Live at Hi Fi Buys.jpg
25,Live at Orlando 1-27-07,Live at Orlando 1-27-07.jpg
26,Live at the Mile High Music Fe,Live at the Mile High Music Fe.jpg
27,Live at Winooski - 02-25-02,Live at Winooski - 02-25-02.jpg
28,Live from the XLounge,Live from the XLounge.jpg
29,Live in Atlanta-2010-03-17,Live in Atlanta-2010-03-17.jpg
30,Live in Noblesville SBD - 8.10.13,Live in Noblesville SBD - 8.10.13.jpg
31,The Lost Tapes - Eddie's Attic '05 (Night 2),The Lost Tapes - Eddie's Attic '05 (Night 2).jpg
32,2004-06-29 - Live on PBS SoundStage,2004-06-29 - Live on PBS SoundStage.jpg
33,2004-07-07 - Red Rocks (HT),2004-07-07 - Red Rocks (HT).jpg
34,2006-10-14 - Chastain Park Amphitheater REMASTERED,2006-10-14 - Chastain Park Amphitheater REMASTERED
35,2007-16-07 - Red Rocks Amphitheatre,2007-16-07 - Red Rocks Amphitheatre.jpg
36,2008-08-02 Woodlands Amphitheater REMASTERED,2008-08-02 Woodlands Amphitheater REMASTERED.jpg
37,2010-03-17 - Philips Arena,2010-03-17 - Philips Arena.jpg
38,2010-07-21 - Jones Beach Amphitheater,2010-07-21 - Jones Beach Amphitheater.png
39,2017-08-08 - Bridgestone Arena,2017-08-08 - Bridgestone Arena.jpg
40,2017-08-10 - Lakewood Amphitheater,2017-08-10 - Lakewood Amphitheater.jpg
41,2017-08-23 - Jones Beach Amphitheater,2017-08-23 - Jones Beach Amphitheater.jpg
42,Heard It In A Past Life,Heard It In A Past Life.jpg
43,Singles,Singles.jpg
44,Substance [Disc 1],Substance [Disc 1].jpg
45,Substance [Disc 2],Substance [Disc 1].jpg
46,Substance,Substance.jpg
47,(What's the Story) Morning Glory? (Deluxe Edition),(What's the Story) Morning Glory_ (Deluxe Edition).jpg
48,Definitely Maybe (Deluxe Edition) [Remastered],Definitely Maybe (Deluxe Edition) [Remastered].jpg
49,Be Here Now (Deluxe Remastered Edition),Be Here Now (Deluxe Remastered Edition).jpg
50,The Joshua Tree (30th Anniversary Super Deluxe Edition),The Joshua Tree (30th Anniversary Super Deluxe Edition).jpg
51,Curaetion-25: From There to Here From Here to There (Live),Curaetion-25_ From There to Here From Here to There (Live).jpg
52,Anniversary: 1978 - 2018 Live In Hyde Park London (Live),Anniversary_ 1978 - 2018 Live In Hyde Park London (Live).jpg
53,The Best of INXS,The Best of INXS.jpg
54,Bestival Live - 2016,Bestival Live - 2016.png
55,Bestival Live 2011,Bestival Live 2011.jpg
56,Festival Live,Festival Live.jpg
57,"Kiss Me, Kiss Me, Kiss Me","Kiss Me, Kiss Me, Kiss Me.jpg"
58,Live at Lallapalooza,Live at Lallapalooza.png
59,One Million Virgins,One Million Virgins.jpg
60,Paris (Live),Paris (Live).jpg
61,Sessions@AOL - EP,Sessions@AOL - EP.jpg
62,Show (Live),Show (Live).jpg
63,Staring at the Sea: The Singles,Staring at the Sea: The Singles.jpg
64,Wish,Wish.jpg
65,Wished,Wished.jpg
66,1992-06-02-Orlando FL,1992-06-02-Orlando FL.jpg
67,"2016-05-20, Sleep Train Amph, Chula Vista, CA","2016-05-20, Sleep Train Amph, Chula Vista, CA.jpg"
68,"2016-05-26, Shoreline Amphitheatre, Mountain View, CA","2016-05-20, Sleep Train Amph, Chula Vista, CA.jpg"
69,"2016-06-05 Fiddler's Green Englewood, CO","2016-05-20, Sleep Train Amph, Chula Vista, CA.jpg"
70,2019-06-21 Southside Festival,2019-06-21 Southside Festival.jpg
71,Live in Hyde Park,Live in Hyde Park.jpg
72,"2012/03/31 Orlando, FL","2012_03_31 Orlando, FL.jpg"
73,RTJ4,RTJ4.jpg
74,Persona Non Grata - Chicago Live 1995,Persona Non Grata - Chicago Live 1995.jpg
75,Mental Floss for the Globe / Hollywood Live 1990,Mental Floss for the Globe _ Hollywood Live 1990.jpg
76,The Remix Collection,The Remix Collection.jpg
77,Artantica / Paris Live 1999,Artantica _ Paris Live 1999.jpg
78,"1993/06/19 San Francisco, CA","1993_06_19 San Francisco, CA.jpg"
79,"2014/06/22 Atlanta, GA","2014_06_22 Atlanta, GA.jpg"
80,"2015/08/02 St. Augustine, FL",ccrw150802_01.jpg
81,"2015/08/03 Atlanta, GA",ccrw150802_01.jpg
82,"2016/07/25 Atlanta, GA","2016_07_25 Atlanta, GA.jpg"
83,"2018/07/29 Atlanta, GA","2018_07_29 Atlanta, GA.jpg"
84,Live at The Bowery Ballroom,Live at The Bowery Ballroom.jpg
85,Everything That's Left,Everything That's Left.jpg
86,Jet Black,Jet Black.jpg
87,Lp Lp,Lp Lp.jpg
88,"Doomsday - Back & Forth, Vol. 5 (Live)","Doomsday - Back & Forth, Vol. 5 (Live).jpg"
89,Tormentor - EP,Tormentor - EP.jpg
90,Ritual de lo Habitual,ritual.jpg
91,Nothing's Shocking,nothingsshocking.jpg
